seed,variant,test_pid_cross_entropy,test_pid_accuracy,selected_epoch,min_total_loss_epoch,min_pid_cross_entropy_epoch,feature_count,target_count,trained_epochs,correct_mae_unweighted_pi_minus,correct_mae_weighted_pi_minus,weighted_bin_tv_pi_minus,correct_mae_unweighted_pi_plus,correct_mae_weighted_pi_plus,weighted_bin_tv_pi_plus,correct_mae_unweighted_proton,correct_mae_weighted_proton,weighted_bin_tv_proton,macro_correct_mae_unweighted,macro_correct_mae_weighted,macro_weighted_bin_tv,mean_w1_delta_p,mean_w1_delta_theta,mean_w1_delta_phi,mean_beta_w1
20260822,A_original,1.0017793817479883,0.6774270895117427,30,22,30,4,3,30,0.00986527941202461,0.007521221867912919,0.024476541763146273,0.01462128044107239,0.012802047475132547,0.039376564391374644,0.02473499653000217,0.019205002066819944,0.029088051904937132,0.016407185461033057,0.013176090469955137,0.03098038601981935,0.04590838278333346,0.0020805286476388574,0.01592521866162618,
20260822,B_beta_input,1.0039872356532307,0.6770737370805517,29,14,29,5,3,30,0.010744734688438,0.00979865694422661,0.027697897168819288,0.019189550474709733,0.01789984151216543,0.04317378445574097,0.025679645431922853,0.021213056624039144,0.028793507030885932,0.018537976865023526,0.01630385169347706,0.0332217295518154,0.053282023717959724,0.0025997375681375465,0.0172596483801802,
20260822,C_beta_target,0.9987334670485968,0.6767897931626304,30,26,30,4,4,30,0.01272749004897781,0.009349047433837179,0.027445762885415847,0.014792366914049844,0.012759248874329563,0.03770961853909502,0.026213812640731655,0.0200887509896106,0.028333184240490777,0.0179112232012531,0.01406568243259245,0.031162855221667216,0.0483304796119531,0.0023699029504011073,0.012927590714146694,0.004697577389563343
20260822,D_input_target_pid02,0.9972521236661608,0.6770421877563383,30,29,30,5,4,30,0.011687447699430063,0.01185168249691364,0.026837668537790113,0.013586471417162608,0.013930220120294257,0.035641518595706224,0.023487091342492765,0.0190342350202841,0.02583856847307682,0.01625367015302848,0.014938712545830665,0.029439251868857718,0.05672191455960274,0.002889035541253785,0.014275243195394674,0.0055955731925520094
20260822,D_input_target_pid1,0.9919757793643531,0.6777867518077763,29,14,29,5,4,30,0.010683510405149773,0.007521026604858184,0.023096185223045452,0.007784019333503238,0.006330668327557419,0.02764324085240886,0.016723685697081016,0.014662178956748446,0.020117057658754784,0.011730405145244677,0.00950462462972135,0.02361882791140303,0.04929838081200918,0.002730872326840957,0.01199259702116251,0.005159130834517848
20260823,A_original,1.0021313576451825,0.6772819626203607,30,18,30,4,3,30,0.017181790735640037,0.017962367866965128,0.03487882801183357,0.01884142171962958,0.015779854771831556,0.03844866212759014,0.012737572007982614,0.011635148542940994,0.020294802047309494,0.016253594821084075,0.01512579039391256,0.031207430728911068,0.03543600253760815,0.00227049901150167,0.015875143309434254,
20260823,B_beta_input,0.9978311792112122,0.6775532868085966,30,27,30,5,3,30,0.01521401644772491,0.016246934409244275,0.03186486537118377,0.01970703814612004,0.01683642368946229,0.0314694299606594,0.011517858073955112,0.010137515105934292,0.019205300323286705,0.015479637555933354,0.014406957734880285,0.02751319855170996,0.046508471171061196,0.002341040138465663,0.015049431473016739,
20260823,C_beta_target,0.9962539397232452,0.6770358778914956,30,24,30,4,4,30,0.016282180016552374,0.015109607548159964,0.028916013562467816,0.015004371537939678,0.013631728436339452,0.03077586030477583,0.01943360264551735,0.01526946249890511,0.02119995928813745,0.0169067180666698,0.014670266161134843,0.02696394438512703,0.0564383827149868,0.002946368341023723,0.013356900153060755,0.004460320810841402
20260823,D_input_target_pid02,0.9978654905432512,0.6765373985689227,30,23,30,5,4,30,0.013876242065679303,0.012927438081761755,0.02766161838171665,0.010950134055249713,0.010963048553775012,0.03210886827401383,0.014451220292254398,0.011921890042249637,0.01960765583271288,0.013092532137727805,0.011937458892595468,0.026459380829481117,0.06483255947629611,0.002919833641499281,0.015286309334139029,0.004508695230082822
20260823,D_input_target_pid1,0.9918864126411004,0.6776921038351359,30,24,30,5,4,30,0.016704319183143374,0.013096783980787762,0.0261517847533134,0.014367523998167838,0.014299756739547496,0.02875802229223864,0.00934949795841373,0.008753137105422958,0.014740752539455988,0.013473780379908313,0.012049892608586072,0.023216853195002676,0.04194421321153641,0.0026701687990377345,0.015039066473642984,0.005488007061990627
20260824,A_original,1.0183236337355257,0.6758559331659116,30,20,30,4,3,30,0.02264705572840717,0.021981419016153064,0.04922699834776921,0.03490278999023898,0.029724186899381753,0.05601519840417942,0.02564166299298346,0.020682731185847812,0.03022822397901956,0.027730502903876533,0.024129445700460873,0.04515680691032273,0.04671842480699221,0.002590094848225514,0.01320726703852415,
20260824,B_beta_input,1.015572024883175,0.6765500182986081,30,27,30,5,3,30,0.02061036432408892,0.01933508531601466,0.047711903880514384,0.019623385768967636,0.014264202176554521,0.04459205822201937,0.025005159493851133,0.020893663659051143,0.02905777627501249,0.0217463031956359,0.01816431705054011,0.040453912792515416,0.03456707547108332,0.002255722686337928,0.013199650372068087,
20260824,C_beta_target,1.0144955066583254,0.6771746949180348,30,21,30,4,4,30,0.01679032532897473,0.012932311114703091,0.04198664618570847,0.01906883195950198,0.014674400775500286,0.05131442359392617,0.02292625941017528,0.019083692579760298,0.02626545848629264,0.019595138899550665,0.015563468156654556,0.039855509421975764,0.04510775332649549,0.0023302728853498897,0.009723247804989418,0.003493289696220326
20260824,D_input_target_pid02,1.0144533658382384,0.676613116947035,30,17,30,5,4,30,0.019153035090710605,0.015546762115495865,0.04251662696572573,0.01736681176301335,0.013177975377853136,0.05201244883417066,0.02516370202738075,0.020519185219471218,0.02870380766089999,0.020561182960368237,0.016414640904273404,0.04107762782026546,0.0375312523295482,0.002675191421682636,0.010941485098252693,0.0028694590118681505
20260824,D_input_target_pid1,0.9920411718336842,0.6779823576178998,30,21,30,5,4,30,0.01049121564163797,0.011177298226656737,0.027753860014589536,0.012541399183461156,0.011078535186858906,0.026779930377469993,0.014479255862839633,0.014443062421675826,0.020099594726894567,0.012503956895979587,0.012232965278397156,0.024877795039651363,0.035239631310105324,0.0021275759985049567,0.010833237009743849,0.0037527883308770362
20260825,A_original,1.0097740957955437,0.676985398972754,30,28,30,4,3,30,0.00957815140301098,0.00629029268108041,0.03634831895404941,0.021931982009565643,0.020344293445708848,0.03937885231881237,0.01790441489020817,0.014652739788982514,0.03566975597812704,0.016471516100928264,0.013762441971923924,0.03713230908366294,0.03403800477584203,0.002196758558663229,0.012566061380008856,
20260825,B_beta_input,1.0094133003387975,0.6771494554586641,30,23,30,5,3,30,0.012586385050517061,0.0110168074675085,0.0421698105983411,0.019843645636203635,0.017750855142228135,0.03648724011469517,0.01224009847604081,0.008740635140225272,0.02773755946026341,0.014890043054253834,0.012502765916653969,0.03546487005776656,0.027333829551935196,0.0023944692220538855,0.013085062926014265,
20260825,C_beta_target,1.0156691972243352,0.6780391464014841,30,30,30,4,4,30,0.01938537931587997,0.01909837688766429,0.061093346248438936,0.01386839427353528,0.013723942897598393,0.03197672364132354,0.03454066376313362,0.03238879298532907,0.04866505899503333,0.022598145784182955,0.02173703759019725,0.0472450429615986,0.038910246143738426,0.0021116717252880335,0.012976557947695255,0.004819929195344214
20260825,D_input_target_pid02,1.0146806582074541,0.6778372307265178,30,24,30,5,4,30,0.02234744098592199,0.024967317740684367,0.06170974864704671,0.012480841932710996,0.011187404026961903,0.03138250284432141,0.02481760167741046,0.02329863003289452,0.03857265653532857,0.01988196153201448,0.019817783933513595,0.043888302675565566,0.05014583592613538,0.0024801118609805903,0.014493226384123167,0.004029313295926666
